nohup: ignoring input
/home/atonixdev/profile/backend/venv/lib/python3.12/site-packages/rest_framework_simplejwt/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import DistributionNotFound, get_distribution
/home/atonixdev/profile/backend/venv/lib/python3.12/site-packages/rest_framework_simplejwt/__init__.py:1: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import DistributionNotFound, get_distribution
Watching for file changes with StatReloader
[20/Dec/2025 03:12:28] "GET /admin/ HTTP/1.1" 302 0
[20/Dec/2025 03:12:40] "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[20/Dec/2025 03:12:40] "GET /admin/ HTTP/1.1" 200 14256
[20/Dec/2025 03:12:40] "GET /static/admin/css/base.css HTTP/1.1" 304 0
[20/Dec/2025 03:12:40] "GET /static/admin/css/responsive.css HTTP/1.1" 304 0
[20/Dec/2025 03:12:40] "GET /static/admin/css/dark_mode.css HTTP/1.1" 304 0
[20/Dec/2025 03:12:40] "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 304 0
[20/Dec/2025 03:12:40] "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[20/Dec/2025 03:12:40] "GET /static/admin/js/theme.js HTTP/1.1" 304 0
[20/Dec/2025 03:12:40] "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 304 0
[20/Dec/2025 03:12:40] "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[20/Dec/2025 03:12:40] "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[20/Dec/2025 03:13:14] "GET / HTTP/1.1" 200 26116
